Name,Region,City,Age
Bob,North,San Antonio,20
Hannah,West,Chicago,67
Frank,West,Houston,70
Hannah,North,Philadelphia,27
Frank,South,Los Angeles,35
Bob,North,Chicago,64
Diana,West,Los Angeles,34
Ivy,East,Houston,32
Alice,East,San Jose,47
Bob,West,Los Angeles,39
Frank,East,San Jose,40
Bob,East,Chicago,22
Charlie,North,Dallas,45
Ivy,East,Phoenix,42
Frank,East,Houston,45
Diana,South,San Antonio,33
Eve,West,Los Angeles,53
Alice,South,Chicago,36
Charlie,North,Los Angeles,63
Ivy,West,Dallas,21
Eve,South,San Jose,47
Diana,East,Houston,22
Alice,South,Houston,61
Alice,West,Philadelphia,63
Hannah,East,San Jose,58
Alice,South,San Antonio,28
Diana,East,Los Angeles,67
Eve,West,Philadelphia,24
Diana,North,Dallas,39
Alice,East,Phoenix,57
Eve,West,Dallas,51
Eve,South,Chicago,38
Diana,East,San Diego,66
Diana,South,San Jose,23
Charlie,West,New York,34
Charlie,North,New York,35
Frank,South,Philadelphia,30
Frank,East,Houston,68
Bob,North,Dallas,24
Alice,South,San Diego,66
Alice,South,Dallas,33
Grace,East,New York,29
Grace,West,Houston,67
Bob,East,Chicago,40
Ivy,West,Houston,18
Charlie,South,San Jose,20
Ivy,West,Dallas,30
Frank,North,Chicago,53
Jack,West,San Antonio,24
Frank,South,New York,32
Grace,North,Phoenix,67
Grace,South,New York,34
Alice,North,Phoenix,53
Frank,North,Chicago,25
Alice,West,Chicago,20
Diana,West,Dallas,47
Bob,North,Phoenix,30
Grace,West,San Antonio,29
Jack,East,Dallas,19
Alice,East,Los Angeles,66
Grace,North,Los Angeles,33
Ivy,North,Los Angeles,46
Alice,East,San Jose,25
Diana,South,San Antonio,57
Bob,North,San Antonio,21
Grace,South,New York,48
Grace,South,San Jose,27
Frank,East,Houston,21
Jack,North,New York,58
Eve,South,Los Angeles,39
Grace,North,Philadelphia,27
Diana,West,Dallas,19
Grace,North,New York,69
Frank,South,Houston,25
Charlie,East,New York,47
Bob,West,Houston,51
Charlie,North,San Jose,21
Alice,East,San Diego,65
Charlie,East,Houston,68
Frank,East,Chicago,49
Frank,North,Chicago,56
Eve,West,New York,33
Eve,South,San Diego,58
Charlie,North,San Jose,44
Charlie,East,Phoenix,70
Diana,South,Phoenix,33
Bob,South,San Diego,66
Frank,West,San Jose,60
Diana,West,Philadelphia,63
Eve,West,Houston,52
Jack,West,San Jose,34
Eve,North,San Antonio,65
Grace,East,New York,57
Eve,West,Houston,23
Eve,West,Chicago,55
Jack,West,San Jose,69
Frank,East,Dallas,21
Eve,North,New York,63
Eve,South,Houston,29
Grace,South,Houston,48
Charlie,East,New York,26
Eve,South,San Diego,54
Ivy,West,Dallas,41
Grace,West,San Diego,65
Alice,West,San Jose,24
Eve,East,Houston,70
Bob,South,Dallas,59
Frank,South,Phoenix,48
Ivy,East,San Diego,51
Bob,West,San Antonio,39
Grace,East,Phoenix,38
Grace,East,New York,36
Jack,South,San Antonio,55
Frank,South,San Jose,59
Charlie,East,Los Angeles,51
Alice,North,San Antonio,59
Frank,West,San Diego,49
Diana,North,San Diego,45
Bob,West,Phoenix,44
Alice,South,Los Angeles,32
Hannah,East,Houston,56
Bob,North,San Jose,47
Alice,West,Houston,70
Alice,North,Los Angeles,68
Hannah,South,Philadelphia,57
Alice,North,Philadelphia,22
Grace,North,Chicago,69
Hannah,North,San Antonio,34
Bob,South,San Jose,27
Hannah,West,Philadelphia,33
Ivy,North,San Diego,66
Charlie,North,New York,31
Eve,West,San Diego,56
Charlie,North,Philadelphia,20
Frank,South,Phoenix,24
Charlie,North,San Diego,42
Hannah,West,Los Angeles,34
Hannah,North,Dallas,66
Hannah,West,San Diego,37
Eve,West,Chicago,37
Hannah,East,San Antonio,39
Ivy,North,Phoenix,50
Hannah,West,Dallas,28
Bob,East,San Diego,34
Frank,South,Chicago,42
Ivy,East,New York,51
Jack,East,Philadelphia,54
Frank,South,San Diego,37
Grace,East,San Jose,60
Grace,North,Houston,50
Charlie,East,San Jose,32
Ivy,South,Los Angeles,49
Diana,East,New York,44
Jack,South,San Antonio,59
Hannah,North,San Antonio,69
Alice,North,Philadelphia,21
Bob,South,Chicago,63
Charlie,East,New York,39
Jack,North,New York,40
Ivy,West,San Antonio,31
Ivy,West,San Antonio,62
Grace,East,Philadelphia,22
Diana,North,Los Angeles,32
Diana,North,Los Angeles,56
Diana,East,Chicago,32
Ivy,West,Chicago,49
Eve,West,Chicago,22
Ivy,East,Phoenix,38
Alice,West,Los Angeles,50
Charlie,West,San Jose,18
Diana,South,Dallas,36
Bob,South,San Antonio,24
Diana,North,New York,18
Hannah,South,Chicago,18
Grace,North,San Diego,70
Hannah,East,Dallas,54
Frank,South,San Antonio,33
Diana,South,Houston,38
Eve,East,Los Angeles,32
Eve,South,Dallas,58
Diana,North,San Jose,30
Jack,South,San Antonio,19
Jack,South,Philadelphia,67
Diana,North,Dallas,50
Diana,East,New York,43
Jack,East,San Antonio,28
Charlie,West,Houston,30
Alice,West,Chicago,42
Alice,North,Dallas,67
